Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000257225.1	AC079601.1	50	3.912023005428146	12
ENSG00000257242.7	LINC01619	4	1.3862943611198906	4
ENSG00000257261.5	AC008014.1	31	3.4339872044851463	11
ENSG00000257267.3	ZNF271P	240	5.480638923341991	17
ENSG00000257270.1	AL928654.2	13	2.5649493574615367	8
ENSG00000257285.5	AL132780.1	4	1.3862943611198906	4
ENSG00000257298.1	AC008147.2	11	2.3978952727983707	7
ENSG00000257302.1	FAHD2P1	4	1.3862943611198906	4
ENSG00000257303.1	AC073896.2	4	1.3862943611198906	4
ENSG00000257315.2	ZBED6	22	3.091042453358316	9
ENSG00000257335.8	MGAM	10	2.302585092994046	7
ENSG00000257337.6	AC068888.1	242	5.488937726156687	17
ENSG00000257342.1	AC025165.2	154	5.0369526024136295	16
ENSG00000257354.2	AC048341.1	101	4.61512051684126	14
ENSG00000257365.7	FNTB	93	4.532599493153256	14
ENSG00000257386.1	AC025257.1	11	2.3978952727983707	7
ENSG00000257390.5	AC023055.1	9	2.1972245773362196	7
ENSG00000257410.1	AC089984.1	5	1.6094379124341003	5
ENSG00000257433.5	AC004241.1	83	4.418840607796598	14
ENSG00000257446.3	ZNF878	8	2.0794415416798357	6
ENSG00000257453.1	AC011611.3	67	4.204692619390966	13
ENSG00000257489.6	AC010203.1	41	3.713572066704308	11
ENSG00000257497.2	AC121761.1	35	3.5553480614894135	11
ENSG00000257509.1	AC073487.1	5	1.6094379124341003	5
ENSG00000257511.1	AC084824.1	35	3.5553480614894135	11
ENSG00000257524.6	AL157935.2	8	2.0794415416798357	6
ENSG00000257542.5	OR7E47P	5	1.6094379124341003	5
ENSG00000257550.1	AC023509.2	26	3.258096538021482	10
ENSG00000257556.1	LINC02298	13	2.5649493574615367	8
ENSG00000257557.2	PPP1R12A-AS1	26	3.258096538021482	10
ENSG00000257576.1	HSPD1P4	24	3.1780538303479458	10
ENSG00000257588.1	AC025154.2	26	3.258096538021482	10
ENSG00000257591.5	ZNF625	10	2.302585092994046	7
ENSG00000257594.3	GALNT4	24	3.1780538303479458	10
ENSG00000257599.2	OVCH1-AS1	42	3.7376696182833684	12
ENSG00000257607.1	AC073957.2	4	1.3862943611198906	4
ENSG00000257653.1	AC117498.1	21	3.044522437723423	9
ENSG00000257663.1	AC025259.1	128	4.852030263919617	15
ENSG00000257671.1	KRT7-AS	132	4.882801922586371	15
ENSG00000257681.1	AC025265.1	7	1.9459101490553132	6
ENSG00000257698.1	AC084033.3	39	3.6635616461296463	11
ENSG00000257702.3	LBX2-AS1	263	5.572154032177765	17
ENSG00000257704.3	INAFM1	68	4.219507705176107	13
ENSG00000257752.1	AC091516.1	4	1.3862943611198906	4
ENSG00000257764.2	AC020656.1	35	3.5553480614894135	11
ENSG00000257800.1	FNBP1P1	30	3.4011973816621555	10
ENSG00000257815.5	LINC01481	22	3.091042453358316	9
ENSG00000257838.5	OTOAP1	6	1.791759469228055	5
ENSG00000257839.1	AC011611.4	8	2.0794415416798357	6
ENSG00000257851.2	HNRNPA3P10	12	2.4849066497880004	8
ENSG00000257869.1	AL139023.1	7	1.9459101490553132	6
ENSG00000257878.1	AC007298.2	11	2.3978952727983707	7
ENSG00000257884.2	AL512310.7	4	1.3862943611198906	4
ENSG00000257894.2	AC027288.3	7	1.9459101490553132	6
ENSG00000257950.3	P2RX5-TAX1BP3	20	2.995732273553991	9
ENSG00000258056.2	AC009779.2	103	4.634728988229636	14
ENSG00000258057.5	BCDIN3D-AS1	18	2.8903717578961645	9
ENSG00000258072.1	AC126177.7	7	1.9459101490553132	6
ENSG00000258088.1	AC078820.1	4	1.3862943611198906	4
ENSG00000258101.2	AC010173.1	9	2.1972245773362196	7
ENSG00000258112.1	CCNG2P1	4	1.3862943611198906	4
ENSG00000258130.8	AC106782.1	38	3.6375861597263857	11
ENSG00000258210.1	AC144548.1	9	2.1972245773362196	7
ENSG00000258301.3	VASH1-AS1	52	3.9512437185814275	12
ENSG00000258302.2	AC025034.1	5	1.6094379124341003	5
ENSG00000258311.5	BLOC1S1-RDH5	25	3.2188758248682006	10
ENSG00000258315.5	C17orf49	37	3.6109179126442243	11
ENSG00000258317.1	AC034102.6	5	1.6094379124341003	5
ENSG00000258334.1	AC125611.4	5	1.6094379124341003	5
ENSG00000258365.1	AC073655.2	8	2.0794415416798357	6
ENSG00000258366.8	RTEL1	73	4.290459441148391	13
ENSG00000258377.1	AL139099.1	67	4.204692619390966	13
ENSG00000258388.7	PPT2-EGFL8	42	3.7376696182833684	12
ENSG00000258405.9	ZNF578	20	2.995732273553991	9
ENSG00000258427.3	RBM8B	11	2.3978952727983707	7
ENSG00000258429.1	PDF	70	4.248495242049359	13
ENSG00000258430.1	AL583722.2	99	4.59511985013459	14
ENSG00000258441.1	LINC00641	186	5.225746673713202	16
ENSG00000258457.5	AL132780.2	10	2.302585092994046	7
ENSG00000258458.6	AL160314.2	11	2.3978952727983707	7
ENSG00000258461.5	AC012651.1	16	2.772588722239781	8
ENSG00000258471.2	AL161668.3	5	1.6094379124341003	5
ENSG00000258472.8	AC005726.1	51	3.9318256327243257	12
ENSG00000258504.2	AL157871.1	6	1.791759469228055	5
ENSG00000258539.1	AC068896.1	4	1.3862943611198906	4
ENSG00000258545.5	RHOXF1-AS1	12	2.4849066497880004	8
ENSG00000258554.1	AC025162.1	14	2.6390573296152584	8
ENSG00000258559.2	AC005519.1	93	4.532599493153256	14
ENSG00000258568.1	RHOQP1	11	2.3978952727983707	7
ENSG00000258592.1	AL391152.1	20	2.995732273553991	9
ENSG00000258593.2	AL583810.1	12	2.4849066497880004	8
ENSG00000258616.5	LINC02303	9	2.1972245773362196	7
ENSG00000258634.3	AL160006.1	185	5.220355825078324	16
ENSG00000258645.2	HSPE1P2	4	1.3862943611198906	4
ENSG00000258647.5	LINC00930	161	5.081404364984463	16
ENSG00000258655.2	ARHGAP5-AS1	42	3.7376696182833684	12
ENSG00000258659.6	TRIM34	12	2.4849066497880004	8
ENSG00000258674.5	AC011448.1	22	3.091042453358316	9
ENSG00000258676.4	AC091544.2	37	3.6109179126442243	11
ENSG00000258700.5	LINC00871	4	1.3862943611198906	4
ENSG00000258701.1	LINC00638	15	2.70805020110221	8
ENSG00000258704.6	SRP54-AS1	10	2.302585092994046	7
ENSG00000258708.1	SLC25A21-AS1	52	3.9512437185814275	12
ENSG00000258725.1	PRC1-AS1	14	2.6390573296152584	8
ENSG00000258727.1	AL135999.1	153	5.030437921392435	16
ENSG00000258732.1	AC025884.1	5	1.6094379124341003	5
ENSG00000258738.1	AL121603.2	55	4.007333185232471	12
ENSG00000258757.1	AL133453.1	17	2.833213344056216	9
ENSG00000258768.2	AL356019.2	64	4.1588830833596715	13
ENSG00000258811.1	AL583810.2	5	1.6094379124341003	5
ENSG00000258815.1	AC131532.1	17	2.833213344056216	9
ENSG00000258818.3	RNASE4	6	1.791759469228055	5
ENSG00000258839.3	MC1R	183	5.209486152841421	16
ENSG00000258875.5	AL135818.1	5	1.6094379124341003	5
ENSG00000258881.6	AC007040.2	5	1.6094379124341003	5
ENSG00000258900.1	HNRNPCP1	10	2.302585092994046	7
ENSG00000258919.1	AL049836.1	7	1.9459101490553132	6
ENSG00000258920.1	FOXN3-AS1	7	1.9459101490553132	6
ENSG00000258938.1	AL162311.3	9	2.1972245773362196	7
ENSG00000258940.2	AL132639.2	6	1.791759469228055	5
ENSG00000258944.1	AC004846.2	6	1.791759469228055	5
ENSG00000258947.6	TUBB3	203	5.313205979041787	17
ENSG00000258986.6	TMEM179	47	3.8501476017100584	12
